 Part Instance     Node ID  Attached elements           S, S22
----------------------------------------------------------------
    PART-1-1           1                1      185.478E-03
    PART-1-1           2                1      160.809E-03
    PART-1-1           2                2      160.809E-03
    PART-1-1           3                2      131.318E-03
    PART-1-1           3                3      131.318E-03
    PART-1-1           4                3      121.796E-03
    PART-1-1           4                4      121.796E-03
    PART-1-1           5                4      114.985E-03
    PART-1-1           5                5      114.985E-03
    PART-1-1           6                5      110.864E-03
    PART-1-1           6                6      110.864E-03
    PART-1-1           7                6       107.68E-03
    PART-1-1           7                7       107.68E-03
    PART-1-1           8                7      105.392E-03
    PART-1-1           8                8      105.392E-03
    PART-1-1           9                8      103.542E-03
    PART-1-1           9                9      103.542E-03
    PART-1-1          10                9      102.106E-03
    PART-1-1          10               10      102.106E-03
    PART-1-1          11               10      100.909E-03
    PART-1-1          11               11      100.909E-03
    PART-1-1          12               11      99.9388E-03
    PART-1-1          12               12      99.9388E-03
    PART-1-1          13               12      99.1135E-03
    PART-1-1          13               13      99.1135E-03
    PART-1-1          14               13      98.4251E-03
    PART-1-1          14               14      98.4251E-03
    PART-1-1          15               14      97.8306E-03
    PART-1-1          15               15      97.8306E-03
    PART-1-1          16               15       97.325E-03
    PART-1-1          16               16       97.325E-03
    PART-1-1          17               16      96.8833E-03
    PART-1-1          17               17      96.8833E-03
    PART-1-1          18               17      96.5023E-03
    PART-1-1          18               18      96.5023E-03
    PART-1-1          19               18      96.1664E-03
    PART-1-1          19               19      96.1664E-03
    PART-1-1          20               19      95.8735E-03
    PART-1-1          20               20      95.8735E-03
    PART-1-1          21               20      95.6133E-03
    PART-1-1          21               21      95.6133E-03
    PART-1-1          22               21      95.3845E-03
    PART-1-1          22               22      95.3845E-03
    PART-1-1          23               22      95.1801E-03
    PART-1-1          23               23      95.1801E-03
    PART-1-1          24               23      94.9992E-03
    PART-1-1          24               24      94.9992E-03
    PART-1-1          25               24      94.8367E-03
    PART-1-1          25               25      94.8367E-03
    PART-1-1          26               25      94.6922E-03
    PART-1-1          26               26      94.6922E-03
    PART-1-1          27               26      94.5619E-03
    PART-1-1          27               27      94.5619E-03
    PART-1-1          28               27      94.4455E-03
    PART-1-1          28               28      94.4455E-03
    PART-1-1          29               28      94.3403E-03
    PART-1-1          29               29      94.3403E-03
    PART-1-1          30               29      94.2461E-03
    PART-1-1          30               30      94.2461E-03
    PART-1-1          31               30      94.1607E-03
    PART-1-1          31               31      94.1607E-03
    PART-1-1          32               31      94.0842E-03
    PART-1-1          32               32      94.0842E-03
    PART-1-1          33               32      94.0148E-03
    PART-1-1          33               33      94.0148E-03
    PART-1-1          34               33      93.9525E-03
    PART-1-1          34               34      93.9525E-03
    PART-1-1          35               34      93.8961E-03
    PART-1-1          35               35      93.8961E-03
    PART-1-1          36               35      93.8455E-03
    PART-1-1          36               36      93.8455E-03
    PART-1-1          37               36      93.7998E-03
    PART-1-1          37               37      93.7998E-03
    PART-1-1          38               37       93.759E-03
    PART-1-1          38               38       93.759E-03
    PART-1-1          39               38      93.7222E-03
    PART-1-1          39               39      93.7222E-03
    PART-1-1          40               39      93.6897E-03
    PART-1-1          40               40      93.6897E-03
    PART-1-1          41               40      93.6606E-03
    PART-1-1          41               41      93.6606E-03
    PART-1-1          42               41      93.6352E-03
    PART-1-1          42               42      93.6352E-03
